S_CTUID,NAABORI100,NAOTHER100,BRTISLE100,FRNH100,WESTEUR100,NORTEUR100,EASTEUR100,SOUTEUR100,CARIB100,LCSA100,CWAFRI100,NORTAFR100,SEAFR100,WAME100,SOUTASI100,SEASIA100,OCEANIC100
5350131,1119,21362,24907,6250,11660,1772,38713,8862,1679,2332,0,280,280,4757,2052,11007,280
5350132,1125,18838,13308,3374,7029,562,44705,12465,2905,3374,562,656,1593,6654,2343,13308,187
5350133,886,12193,19005,4837,6880,1635,32902,15872,3815,3815,341,1294,1226,7289,1907,19278,477
5350134,524,25305,38918,8028,11867,3141,29494,13787,2618,1222,0,698,0,4188,3839,8202,0
5350135,1480,20806,41447,8717,14474,2385,16612,13651,3043,4194,576,411,329,6990,4194,15378,247
5350136.01,2200,18174,33904,6764,9698,2363,19723,14833,3097,4564,652,1304,2119,9291,5297,12795,326
5350136.02,1208,16717,33031,6647,7754,2014,17623,15609,2719,5942,201,1309,1309,8359,3625,17523,201
5350137,1700,17989,44334,8003,12394,3399,17068,16076,3116,3187,850,992,921,6091,3895,12323,354
5350138,328,25410,60000,10656,13279,4262,15738,7541,1639,1148,328,656,492,3607,1311,9836,1967
5350139.01,1659,20616,44194,7464,15047,3436,16114,16943,2014,2251,474,1303,592,5332,3081,13152,1896
5350139.02,2622,25843,52247,8989,20225,3933,20225,15169,2434,2247,0,0,1498,4307,3184,7678,1124
5350140,1302,33189,43167,5206,18655,3471,29284,11497,868,868,0,0,1735,1952,2603,8460,434
5350141.01,348,21951,44367,6852,12660,2091,16028,15563,2207,2671,232,581,581,3717,3252,19861,697
5350141.02,547,25164,53501,6127,16740,2845,21116,12582,1641,656,219,547,1532,5580,2079,12801,328
5350142,1144,27377,51056,9771,13820,4137,18310,14877,1585,1849,176,264,1056,5634,3433,13556,264
5350150,1181,17355,55254,10744,18772,2834,24911,16411,2597,2361,236,0,0,1653,3542,6021,826
5350151,3872,16555,25634,3738,9880,1602,22964,20427,12150,6676,2403,1068,6008,2804,4406,6809,267
5350152,2368,18377,42165,8906,12514,2706,23563,31116,2029,3495,338,0,451,1578,2368,8343,0
5350153,3539,12671,18493,4909,5936,1370,7763,30708,8219,10616,457,228,2169,2055,5137,18721,228
5350154,1925,10184,21732,4090,6496,962,14194,39936,5052,8180,321,241,2245,2326,4411,8581,0
5350155,1155,9241,9406,2640,3960,660,3630,38614,13201,9736,3630,990,8086,990,2970,11221,0
5350156.01,1128,7552,7118,1042,1997,347,4253,22135,14410,17622,2604,521,8507,1997,8420,14236,0
5350156.02,883,11131,15371,4240,4064,353,3004,40813,8657,12367,0,530,2650,1060,2827,17314,0
5350157,1318,13936,14878,5085,2637,0,4896,32580,12806,17514,377,0,6215,1883,3013,15254,0
5350158,2369,8460,11675,2876,1692,338,4230,35364,16074,13536,677,0,2707,1015,4569,18105,0
5350159.01,737,7670,6637,3097,1917,442,3392,48378,6047,8407,0,0,295,2065,14602,12389,0
5350159.02,958,6177,8733,2236,2769,532,3195,58892,5964,8733,319,213,1065,532,7561,10650,213
