S_CTUID,1871,1872,1930,1931,1932,1933,1937,1938,1939,1940,1941,1942
5350260.05,37.7,19.6,980,395,10,475,980,160,170,225,185,240
5350260.06,59.6,8.1,1505,585,55,780,1505,190,260,375,330,355
5350260.07,51.2,7.6,1550,875,55,560,1550,175,430,335,345,260
5350261,45.4,11.8,1935,840,95,915,1930,225,355,355,445,555
5350262.01,59.5,8.3,2760,1335,105,1170,2765,315,665,640,585,560
5350262.02,54.1,10.7,2635,1475,120,940,2640,350,805,655,375,455
5350263.02,54,6.8,1475,955,70,350,1480,220,400,445,190,210
5350263.03,64.4,6.8,2185,1220,90,665,2185,295,680,580,265,365
5350263.04,53.3,9.2,2830,1700,120,810,2825,425,845,665,415,470
5350264,51.8,4.1,435,370,15,20,435,75,185,125,35,20
5350265,54.2,9,1625,1040,95,325,1630,215,480,655,195,85
5350266,53.6,8,1160,830,30,235,1160,125,410,425,110,85
5350267,58.1,4.7,2485,1750,95,500,2485,340,825,745,350,230
5350268,50.4,8.3,2420,1525,125,620,2420,415,725,675,320,290
5350269.01,54.3,10.6,2215,990,75,1065,2215,185,540,535,345,605
5350269.02,61.6,7.6,1130,805,55,220,1130,180,345,310,155,140
5350270.01,59.6,9.2,2265,1380,80,755,2265,290,550,595,360,470
5350270.02,60.2,8.3,1805,1175,80,495,1805,210,480,550,290,275
5350271.01,60.6,5.5,1200,730,115,295,1200,150,345,390,130,190
5350271.02,52.8,12.4,1885,1090,95,575,1885,230,615,480,230,320
5350272.01,56.3,9.8,2615,1165,205,1145,2615,250,635,710,400,620
5350272.02,57.2,8.3,2155,1245,115,725,2155,260,625,535,225,510
5350273.01,56.9,6.5,1520,1070,55,330,1520,155,550,445,185,185
5350273.02,53.6,10.3,1570,1005,55,355,1570,200,465,485,240,170
5350274.01,61.4,8.4,2155,1340,65,680,2155,210,585,715,325,320
5350274.02,53.4,8,1910,1140,70,610,1915,170,605,705,250,180
5350275,56.1,6.3,2395,1360,95,725,2390,355,785,805,270,180
5350276.01,60.8,5.3,2615,1670,105,655,2610,455,800,750,370,240
5350276.02,62.7,4.8,2905,1880,90,685,2910,410,920,960,400,215
5350277,61.8,5.8,1605,1030,65,350,1605,340,555,480,160,90
5350278,56.9,7.8,2800,1540,90,980,2805,590,805,865,290,255
5350279.01,56.1,8.2,1855,930,55,730,1855,265,580,660,185,170
5350279.02,54.6,8.5,2650,1350,200,925,2650,290,730,870,375,390
5350280,58.7,8.7,3435,1620,145,1515,3435,385,855,885,625,680
5350281.01,57.5,10.1,2950,1420,155,1260,2950,240,665,870,440,740
5350281.02,53.4,12.9,1540,785,95,605,1540,135,310,455,240,400
5350282,63,5.2,2290,1590,110,530,2290,295,770,590,255,375
5350283.01,50.9,9.4,2045,1010,95,855,2045,170,570,595,300,410
5350283.02,44.4,8.9,1545,895,105,515,1550,170,440,480,185,270
5350284,58.1,7.7,3155,1645,130,1210,3160,370,940,760,420,665
5350285,53.4,8.8,1425,850,95,410,1425,200,400,425,180,230
5350286,55.5,7.2,1915,925,100,745,1915,295,460,640,285,245
5350287.02,60.5,9.3,2815,980,85,1400,2815,390,595,810,555,465
5350287.03,46,15.3,1150,400,20,625,1155,115,295,400,210,130
5350287.04,62.1,6.2,2155,970,70,940,2155,370,370,635,495,290
5350288,67.5,5.1,5185,2490,175,2280,5185,720,1425,1600,765,675
5350289,56.7,7.1,2100,1110,130,755,2095,250,565,645,305,330
5350290.01,61,7.8,1865,800,125,870,1865,190,485,440,340,415
5350290.02,69.4,8.7,965,510,40,370,965,70,240,235,190,220
5350291.02,50.6,6.8,1965,1090,115,710,1965,165,505,560,260,480
5350291.03,50,8.6,960,490,65,350,960,125,235,250,135,220
5350291.04,54.3,9,720,360,50,275,715,75,190,175,135,140
5350292,58.5,9,3115,1640,190,1150,3115,330,765,820,430,770
5350293,60.4,6.7,3010,1870,220,845,3010,315,885,825,405,580
5350294.01,55.5,8.9,1955,1150,130,630,1955,195,475,545,310,435
5350294.02,52.5,8.9,1925,1155,145,555,1930,170,520,540,295,400
5350295,58.5,6.3,2480,1235,205,965,2485,205,660,675,455,480
5350296,57.1,0,40,20,10,10,40,0,15,20,0,10
5350297.01,60,8.1,3445,1625,120,1555,3445,345,785,1015,725,575
5350297.02,58.2,7.7,2890,1705,105,950,2890,375,830,810,455,415
5350298,65.7,5.9,2180,1265,65,705,2180,350,610,600,360,265
5350299.01,63.4,7.4,2825,1530,70,1030,2825,265,755,900,535,365
5350299.02,59.1,8.1,2580,910,60,1280,2575,385,470,910,515,300
5350300,65.2,8.1,7140,3315,185,3115,7145,525,1930,2575,1310,805
5350301.01,60,6.4,1330,730,100,455,1330,170,395,380,170,215
5350301.03,56.9,12.2,3010,1100,85,1635,3010,225,700,770,580,730
5350301.04,59.4,10.1,2920,1275,140,1335,2920,335,700,765,490,635
5350302.01,53.6,9.8,2745,1680,160,785,2745,325,875,680,320,550
5350302.02,52.8,10.3,2610,1400,205,925,2610,270,665,690,365,615
5350302.03,53,9.7,1435,900,55,445,1440,135,390,430,140,345
5350303,55.6,11,2310,1105,115,945,2305,275,590,535,330,580
5350304.01,58.5,11.4,2045,985,90,905,2045,195,425,625,290,510
5350304.02,55.8,6.4,1965,1195,100,590,1960,170,530,505,380,375
5350304.03,57.4,10.1,1265,645,70,525,1265,115,260,355,250,280
5350304.04,59.8,9.2,1715,615,90,895,1715,115,465,425,260,455
5350304.05,43,10.7,960,560,55,300,960,100,275,225,170,195
5350304.06,55.1,9.2,2485,1385,60,970,2490,190,650,685,315,640
