S_CTUID,690,743,746,857,860,867,870
5350307.03,9.4,44885,40224,39.8,38.7,34.2,34.8
5350307.04,7.9,51456,42155,32.3,33.3,28,30
5350307.05,6.2,44727,41941,36.3,35.3,32.3,32.4
5350307.06,7,49024,39339,38.1,36.9,32.3,32.2
5350307.07,8.3,57920,39104,27.8,29.6,24.8,27.3
5350308.02,8.6,81977,28768,13.4,14,11.6,12.7
5350308.03,6.4,96512,36224,12.2,14.1,11.8,14.8
5350308.04,10.1,46007,29440,33.9,32.7,29.4,29.8
5350309,16.2,49664,23872,24,21.8,20.3,20.3
5350310.01,8.8,85120,40576,9.9,9.8,9,10.1
5350310.02,12.5,60736,27776,18.4,18.3,13.9,14.5
5350311.02,20.3,49573,21312,21.1,19.5,17.6,17.3
5350311.03,18.7,64704,28672,14.6,13.6,11.6,11.8
5350311.04,20.4,52631,25216,17.6,16.2,13.9,13.9
5350311.05,17.2,44944,29995,30.6,29.7,28.2,28.9
5350311.06,8.8,46848,33408,32.4,31.3,35.5,37.2
5350312.02,23.5,52192,23808,24.2,21.1,18.9,17.5
5350312.03,24.3,52693,25024,21,18.3,17.4,16.3
5350312.04,28.6,45376,23168,32.6,27.6,26.3,23.5
5350312.05,33.3,38187,19488,43,37.2,35.2,31.6
5350312.06,27.3,50773,23616,24,21.7,18,17.2
5350312.07,30.3,42560,18459,22.7,15.3,20.1,14.7
5350313,18.5,60782,28416,15.2,13.4,12.7,12.7
5350314.01,23.1,46080,25536,31.4,28,24.7,23
5350314.02,20.7,56576,26987,22.1,20.1,18.3,18
5350315.01,18.9,66816,29408,8.6,8,7.9,9
5350315.02,27.2,50893,26496,26.9,25,20.5,20.3
5350315.03,23,55351,26016,21.9,20,18.2,16.8
5350316.01,22.4,60800,26496,13.1,12.3,10.7,11.2
5350316.03,27.4,44727,26048,33.2,28.3,24.3,21.8
5350316.04,35.1,33869,17806,45.8,38.7,37.1,31.7
5350316.05,27.8,44197,21344,32.6,28.6,26.2,24.7
5350316.06,29,42957,18624,38.4,33.6,30.4,26.4
5350317.02,21.4,38464,19232,31.4,26.3,26.7,24.2
5350317.03,10.2,76437,39296,14.4,14,12.5,13
5350317.04,17.3,50828,30112,25.2,23.3,19.2,18.6
5350317.05,14.6,64384,24256,16.4,14.2,15.5,15.6
5350318,10.8,50995,27883,28.8,30.2,25.9,28.7
5350319,12.4,56302,30432,25,26,22.2,23.9
5350320.01,19.3,41911,20224,30.1,26.4,23.8,22.9
5350320.02,15.9,55600,27584,20.4,20,19.4,21
5350321.01,8.7,78507,29440,18.1,19.6,16.7,19.2
5350321.02,9.8,61483,36736,24,25.1,22.4,24.8
5350322.01,9.6,45987,35584,36.9,35.8,32.5,32.6
5350322.02,11.7,48341,17785,29,25.5,26.6,26
5350323.01,11.4,63680,39765,20.9,22.3,17.4,19.8
5350323.02,10.4,78106,42240,13.4,15.3,11.1,13.5
5350324.01,13,68224,30528,22.5,21.9,18.9,20.4
5350324.02,12.5,63275,28288,24.5,24.8,22.4,24.2
5350324.03,15.5,62272,25984,21,19,17.9,19.6
5350324.05,15.1,52736,17755,25.8,17.3,21,15
5350324.06,10.6,72249,39872,14.7,14.2,12.8,12.7
5350330,11.6,77696,41216,7.5,8.1,6.8,8.1
5350331.01,11.7,74061,43520,7.8,7.9,6.7,7.5
5350331.03,27.6,43558,24128,41.2,35.6,31.8,28.8
5350331.04,10.8,62016,41568,12.3,11.6,9.5,10.1
5350332,20.7,42344,18944,33.4,30.9,27.3,26.8
5350333,10.9,75719,39083,14.6,12.6,12.4,11.5
5350334,7.9,85709,38560,10.9,10.8,9.7,10.3
5350335,17,51476,23115,23,19.4,17.6,15.2
5350336,12.4,67712,31040,12.8,12,12.3,12.1
5350337.01,19.8,39936,18304,31.9,30.6,29.9,29.6
5350337.02,15.3,45632,27456,25.7,25.2,20.6,21.1
5350338,9.5,61710,22933,16.4,18.1,14.6,17
5350339,6.7,72448,39616,9.6,9.7,7.9,9
5350340,14.8,51622,29824,27.8,25.9,23.7,23.1
5350341.02,19.6,45069,24512,28.8,26.2,24.2,23.1
